Label,city,country,Id,ICAO,latitude,longitude
Annecy-Haute-Savoie-Mont Blanc Logic.Airport,Annecy,France,NCY,LFLP,45.930833299999996,6.106388900000001
Grenoble-Isère Logic.Airport,Grenoble,France,GNB,LFLS,45.36289978027344,5.329370021820068
Valence-Chabeuil Logic.Airport,Valence,France,VAF,LFLU,44.9216,4.9699
Vichy-Charmeil Logic.Airport,Vichy,France,VHY,LFLV,46.169700622558594,3.4037399291992188
Aurillac Logic.Airport,Aurillac,France,AUR,LFLW,44.89139938354492,2.4219400882720947
Châteauroux-Déols Logic.Airport,Chateauroux,France,CHR,LFLX,46.86027778,1.7211111000000001
Lyon-Bron Logic.Airport,Lyon,France,LYN,LFLY,45.72719955444336,4.944270133972168
Aix-en-Provence (BA 114) Logic.Airport,Aix-les-milles,France,QXB,LFMA,43.5056,5.367780000000001
Cannes-Mandelieu Logic.Airport,Cannes,France,CEQ,LFMD,43.54199981689453,6.953479766845702
Saint-Étienne-Bouthéon Logic.Airport,St-Etienne,France,EBU,LFMH,45.54059982299805,4.2963900566101065
Carcassonne Logic.Airport,Carcassonne,France,CCF,LFMK,43.21599960327149,2.3063199520111084
Marseille Provence Logic.Airport,Marseille,France,MRS,LFML,43.439271921999996,5.22142410278
Nice-Côte d'Azur Logic.Airport,Nice,France,NCE,LFMN,43.658401489300005,7.215869903560001
Perpignan-Rivesaltes (Llabanère) Logic.Airport,Perpignan,France,PGF,LFMP,42.74039840698242,2.8706700801849365
Le Castellet Logic.Airport,Le Castellet,France,CTT,LFMQ,43.25249862670898,5.785190105438232
Montpellier-Méditerranée Logic.Airport,Montpellier,France,MPL,LFMT,43.57619857788086,3.96301007270813
Béziers-Vias Logic.Airport,Beziers,France,BZR,LFMU,43.32350158691406,3.353899955749512
Avignon-Caumont Logic.Airport,Avignon,France,AVN,LFMV,43.90729904174805,4.901830196380615
Mende-Brenoux Logic.Airport,Mende,France,MEN,LFNB,44.50210189819336,3.532819986343384
Paris Beauvais Tillé Logic.Airport,Beauvais,France,BVA,LFOB,49.45439910888672,2.1127800941467285
